date,year,month,day,decimal,co2_molfrac,day_of_year,co2_30d_avg,co2_365_avg,daily_diff,monthly_diff,monthly_change
1992-01-31,1992.0,1.0,16.0,1992.0409838709677,356.34354838709675,16.0,355.9783870967742,355.84967741935486,-0.036129032258064665,1.12,0.31413142194163246
1992-02-29,1992.0,2.0,14.666666666666666,1992.1220407407409,357.2151851851852,45.666666666666664,356.69481481481483,355.95888888888885,0.014814814814813972,0.87,0.24460574690736703
1992-03-31,1992.0,3.0,15.291666666666666,1992.2029833333333,357.94958333333335,75.29166666666667,357.43625,356.01,0.0429166666666679,0.73,0.20558984573051386
1992-04-30,1992.0,4.0,15.777777777777779,1992.2890074074076,359.2262962962963,106.77777777777777,358.77555555555557,356.0274074074074,0.09444444444444276,1.28,0.3566739625938009
1992-05-31,1992.0,5.0,15.846153846153847,1992.3711653846153,359.713076923077,136.84615384615384,359.5142307692308,356.02923076923076,0.03653846153846329,0.49,0.1355080715970569
1992-06-30,1992.0,6.0,15.5,1992.4549166666666,359.435,167.5,359.81433333333337,356.1136666666667,-0.0669999999999997,-0.28,-0.07730520265084584
1992-07-31,1992.0,7.0,16.0,1992.5382519999998,357.1492,198.0,358.3632,356.2064,-0.1340000000000009,-2.29,-0.6359425209008562
1992-08-31,1992.0,8.0,14.75,1992.6195333333335,355.07666666666665,227.75,355.87166666666667,356.26416666666665,-0.06666666666666761,-2.07,-0.5802990272226194
1992-09-30,1992.0,9.0,16.12,1992.70798,352.99120000000005,260.12,353.9108,356.37120000000004,-0.03919999999999845,-2.09,-0.5873285581517451
1992-10-31,1992.0,10.0,16.896551724137932,1992.7920655172416,353.4310344827586,290.8965517241379,353.19172413793103,356.4720689655173,0.016551724137929703,0.44,0.12460210984255315
1992-11-30,1992.0,11.0,15.137931034482758,1992.8719620689656,354.40000000000003,320.13793103448273,353.81,356.48689655172416,0.06413793103448323,0.97,0.2741597151080688
1992-12-31,1992.0,12.0,16.0,1992.9562838709678,355.676129032258,351.0,355.0074193548387,356.52096774193546,0.047419354838710556,1.28,0.36008155537754494
1993-01-31,1993.0,1.0,16.428571428571427,1993.042275,357.1139285714286,16.428571428571427,356.55178571428576,356.56928571428574,0.06607142857142735,1.44,0.40424403602306036
1993-02-28,1993.0,2.0,14.5,1993.1219142857142,357.4153571428571,45.5,357.23678571428576,356.6139285714286,0.0032142857142868513,0.3,0.08440683695378759
1993-03-31,1993.0,3.0,16.466666666666665,1993.2040166666666,358.603,75.46666666666667,358.1023333333333,356.67966666666666,0.02566666666666606,1.19,0.3322864654268898
1993-04-30,1993.0,4.0,15.84,1993.2872320000001,359.39959999999996,105.84,358.92839999999995,356.708,0.034800000000000185,0.8,0.22213980362684183
1993-05-31,1993.0,5.0,15.9,1993.3695866666667,360.305,135.9,359.84833333333336,356.7463333333333,0.004000000000000152,0.91,0.2519201468226484
1993-06-30,1993.0,6.0,15.392857142857142,1993.4531357142857,359.6425,166.39285714285714,360.1932142857143,356.7903571428572,-0.053928571428571104,-0.66,-0.183871997335594
1993-07-31,1993.0,7.0,15.44,1993.535444,357.494,196.44,358.6268,356.8036,-0.12600000000000136,-2.15,-0.5973988057584867
1993-08-31,1993.0,8.0,15.777777777777779,1993.621314814815,355.7785185185185,227.77777777777777,356.5170370370371,356.8544444444444,0.0033333333333345123,-1.72,-0.4798630134999482
1993-09-30,1993.0,9.0,16.347826086956523,1993.7078,354.11391304347825,259.3478260869565,354.7165217391304,356.9104347826087,-0.052173913043480236,-1.66,-0.46787689205401994
1993-10-31,1993.0,10.0,17.392857142857142,1993.7928535714286,354.2657142857143,290.39285714285717,354.18392857142857,357.0053571428571,0.008214285714286364,0.15,0.04286791245544652
1993-11-30,1993.0,11.0,15.448275862068966,1993.8724655172414,355.52379310344827,319.44827586206895,354.7955172413793,357.09275862068966,0.05758620689655227,1.26,0.3551229393650379
